id,book_type,book_language,authors,image,title,book_genre,rating,published_date,description,isbn_13,page_count,book_status,date_added,date_read,goodreads_link
1,1,1,Emma Clayton,,Racnetul ,,4.05,,,9786066092869,346,1,12/22/2021,1/2/2022,
2,1,1,Ștefan Ciocioi,,Legiunea de Abur,,4.2,,,9786069706138,410,3,12/31/2021,,
3,1,1,Ștefan Ciocioi,,Rezistența ,,4.78,,,9786069479629,268,3,12/31/2021,,
4,1,1,Ștefan Ciocioi,,Încleștarea Epocilor ,,4.64,,,9786069479612,330,3,12/31/2021,,
5,1,1,Ștefan Ciocioi,,Cele douăsprezece încuietori,,4.25,,,9786068894485,330,3,12/31/2021,,
6,1,1,Josh Malerman,,Malorie ,,3.81,,,,301,1,12/21/2020,,
7,1,1,Gwenda Bond,,Suspicious Minds ,,3.59,,,,304,1,12/21/2020,,
8,1,1,Stephen Booth,,Cainele negru ,,3.83,,,9789731037226,0,1,3/2/2020,3/7/2020,
9,1,1,Alex Michaelides,,Pacienta tăcută,,4.18,,,9786063336065,368,1,3/2/2020,7/12/2021,
10,1,1,Ruth Ware,,Moartea doamnei  Westaway,,3.81,,,9786064006554,464,1,3/2/2020,5/7/2021,
11,1,1,Leigh Bardugo,,The Grisha Trilogy ,,4.3,,,9781627799546,1248,3,4/28/2021,,
12,1,1,Mo Hayder,,Omul-Pasare ,,3.89,,,9789731035598,384,1,11/22/2020,4/20/2021,
13,1,1,Jessica Barry,,Cadere libera,,3.8,,,,416,1,4/5/2021,4/13/2021,
14,1,1,Michael Punke,,Răzbunătorul. Legenda lui Hugh Glass,,3.96,,,9786067196269,342,1,3/2/2020,4/5/2021,
15,1,1,Andy Weir,,Marțianul,,4.41,,,9786068673226,424,1,3/2/2020,4/1/2021,
16,1,1,Robert Galbraith,,Troubled Blood ,,4.37,,,9780751579932,944,3,3/30/2021,,
17,1,1,Julia Navarro,,Conferia Sfantului Giulgiu,,3.6,,,,384,1,3/6/2021,,
18,1,1,Markus C. Schulte von Drach,,Furor,,3.56,,,9783423244404,359,3,3/2/2020,,
19,1,1,David Ebershoff,,Daneza,,3.76,,,9786067760729,374,3,3/2/2020,,
20,1,1,Sylvia Day,,Atracția ,,4.15,,,9786068494944,444,3,3/2/2020,,
21,1,1,James Frey,,O mie de fărâme,,3.68,,,9789736891595,536,3,3/2/2020,,
