Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
42945266,Racnetul (Racnetul #1),Emma Clayton,"Clayton, Emma",,"=""""","=""9786066092869""",5,4.05,RAO,Hardcover,346,2012,2008,2022/01/02,2021/12/22,,,read,,,,1,0
56291377,Legiunea de Abur,Ștefan Ciocioi,"Ciocioi, Ștefan",,"=""""","=""9786069706138""",0,4.20,Editura UP,Paperback,410,2020,,,2021/12/31,to-read,to-read (#510),to-read,,,,0,0
53194523,"Rezistența (Cele Douăsprezece Încuietori, #2)",Ștefan Ciocioi,"Ciocioi, Ștefan",,"=""""","=""9786069479629""",0,4.78,Editura UP,Paperback,268,2020,,,2021/12/31,to-read,to-read (#509),to-read,,,,0,0
53194462,"Încleștarea Epocilor (Cele Douăsprezece Încuietori, #1)",Ștefan Ciocioi,"Ciocioi, Ștefan",,"=""""","=""9786069479612""",0,4.64,Editura UP,Paperback,330,2020,,,2021/12/31,to-read,to-read (#508),to-read,,,,0,0
37776896,Cele douăsprezece încuietori,Ștefan Ciocioi,"Ciocioi, Ștefan",,"=""""","=""9786068894485""",0,4.25,Librex,Paperback,330,2017,2017,,2021/12/31,to-read,to-read (#507),to-read,,,,0,0
44510181,"Malorie (Bird Box, #2)",Josh Malerman,"Malerman, Josh",,"=""""","=""""",5,3.80,Del Rey,Kindle Edition,301,2020,2020,,2020/12/21,,,read,,,,2,0
40535559,"Suspicious Minds (Stranger Things, #1)",Gwenda Bond,"Bond, Gwenda",,"=""""","=""""",5,3.60,Cornerstone Digital,Kindle Edition,304,2019,2019,,2020/12/21,,,read,,,,1,0
50268882,Cainele negru (Romanian Edition),Stephen Booth,"Booth, Stephen",,"=""9731037225""","=""9789731037226""",5,3.83,Editura Rao,Paperback,0,2008,2000,2020/03/07,2020/03/02,,,read,,,,1,0
45152448,Pacienta tăcută,Alex Michaelides,"Michaelides, Alex",Dana-Ligia Ilin,"=""6063336060""","=""9786063336065""",4,4.18,Litera,Paperback,368,2019,2018,2021/07/12,2020/03/02,,,read,,,,1,0
52115910,Moartea doamnei  Westaway,Ruth Ware,"Ware, Ruth",Tudor Calin Zarojanu,"=""6064006552""","=""9786064006554""",4,3.81,Editura Trei,Paperback,464,2019,2018,2021/05/07,2020/03/02,,,read,,,,1,0
27280362,"The Grisha Trilogy (The Shadow and Bone Trilogy, #1-3)",Leigh Bardugo,"Bardugo, Leigh",,"=""1627799540""","=""9781627799546""",0,4.30,Henry Holt and Co. (BYR),ebook,1248,2015,2014,,2021/04/28,to-read,to-read (#506),to-read,,,,0,0
25078113,"Omul-Pasare (Jack Caffery, #1)",Mo Hayder,"Hayder, Mo",,"=""9731035591""","=""9789731035598""",3,3.89,RAO,Paperback,384,2008,1999,2021/04/20,2020/11/22,,,read,,,,1,0
54811969,Cadere libera,Jessica Barry,"Barry, Jessica",,"=""""","=""""",3,3.80,RAO,Paperback,416,2020,2019,2021/04/13,2021/04/05,,,read,,,,1,0
28637228,Răzbunătorul. Legenda lui Hugh Glass,Michael Punke,"Punke, Michael",,"=""6067196263""","=""9786067196269""",4,3.96,Trei,Paperback,342,2016,2002,2021/04/05,2020/03/02,,,read,,,,1,0
27192797,Marțianul,Andy Weir,"Weir, Andy",Iulia Anania,"=""""","=""9786068673226""",5,4.41,Editura Paladin,Paperback,424,2016,2011,2021/04/01,2020/03/02,,,read,,,,1,0
51807232,"Troubled Blood (Cormoran Strike, #5)",Robert Galbraith,"Galbraith, Robert",,"=""0751579939""","=""9780751579932""",0,4.37,Generic,Hardcover,944,2020,2020,,2021/03/30,to-read,to-read (#505),to-read,,,,0,0
31836622,Conferia Sfantului Giulgiu,Julia Navarro,"Navarro, Julia",,"=""9731037073""","=""""",3,3.60,RAO,Paperback,384,2004,2004,,2021/03/06,,,read,,,,1,0
5983775,Furor,Markus C. Schulte von Drach,"Drach, Markus C. Schulte von",,"=""3423244402""","=""9783423244404""",0,3.56,Deutscher Taschenbuch Verlag,Paperback,359,2005,2005,,2020/03/02,to-read,to-read (#504),to-read,,,,0,0
28363284,Daneza,David Ebershoff,"Ebershoff, David",,"=""606776072X""","=""9786067760729""",0,3.76,Rao Books,Hardcover,374,2015,2000,,2020/03/02,to-read,to-read (#503),to-read,,,,0,0
17853732,"Atracția (Crossfire, #1)",Sylvia Day,"Day, Sylvia",,"=""""","=""9786068494944""",0,4.14,Litera,Paperback,444,2013,2012,,2020/03/02,to-read,to-read (#502),to-read,,,,0,0
