title,game_genre,rating,released_date,description,game_status,game_link,game_image_link
Sid Meier’s Civilization VI,30,9.0,2016-10-21,"<p><span>Civilization VI is the newest installment in the award winning Civilization Franchise...</span></p>",1,https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/,https://cdn.cloudflare.steamstatic.com/steam/apps/289070/header.jpg?t=1708651986
Anno 1800,22,9.0,2019-04-16,"<p><span>Anno 1800™ – Lead the Industrial Revolution! Welcome to the dawn of the Industrial Age...</span></p>",2,https://store.steampowered.com/app/916440/Anno_1800/,https://cdn.cloudflare.steamstatic.com/steam/apps/916440/header.jpg?t=1709221791
Total War: EMPIRE – Definitive Edition,35,9.0,2009-03-03,"<p><span>Command the seas, control the land, forge a new nation, and conquer the globe.</span></p>",2,https://store.steampowered.com/app/10500/Total_War_EMPIRE__Definitive_Edition/,https://cdn.cloudflare.steamstatic.com/steam/apps/10500/header.jpg?t=1699976482
Dawn of Man,22,9.0,2019-03-01,"<p><span>Command a settlement of ancient humans, guide them through the ages...</span></p>",2,https://store.steampowered.com/app/858810/Dawn_of_Man/,https://cdn.cloudflare.steamstatic.com/steam/apps/858810/header.jpg?t=1709911973
Planetbase,22,7.0,2015-10-15,"<p><span>Guide a group of space settlers trying to establish a base on a remote planet...</span></p>",2,https://store.steampowered.com/app/403190/Planetbase/,https://cdn.cloudflare.steamstatic.com/steam/apps/403190/header.jpg?t=1709911965
Deluxe Content - Cossacks 3: The Golden Age,35,6.0,2017-08-24,"<p><span>This DLC allows you to participate in grand battles of the Golden Age of the 17th century.</span></p>",2,https://store.steampowered.com/app/694190/Deluxe_Content__Cossacks_3_The_Golden_Age/,https://cdn.cloudflare.steamstatic.com/steam/apps/694190/header.jpg?t=1503599723
Deluxe Content - Cossacks 3: Path to Grandeur,35,6.0,2017-05-16,"<p><span>Experience two new campaigns, new nations and units in this expansion.</span></p>",2,https://store.steampowered.com/app/630890/Deluxe_Content__Cossacks_3_Path_to_Grandeur/,https://cdn.cloudflare.steamstatic.com/steam/apps/630890/header.jpg?t=1568742742
Expansion - Cossacks 3: Guardians of the Highlands,35,7.0,2017-04-11,"<p><span>Adds Scotland as a playable nation with unique units and buildings.</span></p>",2,https://store.steampowered.com/app/615380/Expansion__Cossacks_3_Guardians_of_the_Highlands/,https://cdn.cloudflare.steamstatic.com/steam/apps/615380/header.jpg?t=1568742692
Deluxe Content - Cossacks 3: Rise to Glory,35,6.0,2017-02-15,"<p><span>Follow the stories of great military leaders across history.</span></p>",2,https://store.steampowered.com/app/586910/Deluxe_Content__Cossacks_3_Rise_to_Glory/,https://cdn.cloudflare.steamstatic.com/steam/apps/586910/header.jpg?t=1568742681
Deluxe Content - Cossacks 3: Days of Brilliance,35,7.0,2016-12-13,"<p><span>New missions and units to enhance the historical depth of Cossacks 3.</span></p>",2,https://store.steampowered.com/app/565040/Deluxe_Content__Cossacks_3_Days_of_Brilliance/,https://cdn.cloudflare.steamstatic.com/steam/apps/565040/header.jpg?t=1568742746
Cossacks 3,35,9.0,2016-09-20,"<p><span>Cossacks 3 is the return of RTS classics. Obtain resources, build cities...</span></p>",2,https://store.steampowered.com/app/333420/Cossacks_3/,https://cdn.cloudflare.steamstatic.com/steam/apps/333420/header.jpg?t=1678808308
RAM Pressure,30,6.0,2021-03-10,"<p><span>Tactical story-driven online multiplayer game combining turn-based combat...</span></p>",2,https://store.steampowered.com/app/929490/RAM_Pressure/,https://cdn.cloudflare.steamstatic.com/steam/apps/929490/header.jpg?t=1658424224
XERA: Survival,51,6.0,2019-05-24,"<p><span>Action-focused, open world survival shooter, PvPvE against XOIDS.</span></p>",2,https://store.steampowered.com/app/625340/XERA_Survival/,https://cdn.cloudflare.steamstatic.com/steam/apps/625340/header.jpg?t=1708667234
War Thunder,35,7.0,2013-08-15,"<p><span>War Thunder is the most comprehensive free-to-play MMO military game...</span></p>",2,https://store.steampowered.com/app/236390/War_Thunder/,https://cdn.cloudflare.steamstatic.com/steam/apps/236390/header.jpg?t=1710422025
