id,image,title,game_genre,rating,released_date,description,game_status,game_link,game_image_link
59,,Sid Meier’s Civilization VI,30,9.0,,"<p><span style=""color:hsl(0, 0%, 0%);"">Civilization VI is the newest installment in the award winning Civilization Franchise. Expand your empire, advance your culture and go head-to-head against history’s greatest leaders. Will your civilization stand the test of time?</span></p>",1,https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/,https://cdn.cloudflare.steamstatic.com/steam/apps/289070/header.jpg?t=1708651986
58,,Anno 1800,22,9.0,,"<p><span style=""color:hsl(0, 0%, 0%);"">Anno 1800™ – Lead the Industrial Revolution! Welcome to the dawn of the Industrial Age. The path you choose will define your world. Are you an innovator or an exploiter? A conqueror or a liberator? How the world remembers your name is up to you.</span></p>",2,https://store.steampowered.com/app/916440/Anno_1800/,https://cdn.cloudflare.steamstatic.com/steam/apps/916440/header.jpg?t=1709221791
57,,Total War: EMPIRE – Definitive Edition,35,9.0,,"<p><span style=""color:hsl(0, 0%, 0%);"">Command the seas, control the land, forge a new nation, and conquer the globe.</span></p>",2,https://store.steampowered.com/app/10500/Total_War_EMPIRE__Definitive_Edition/,https://cdn.cloudflare.steamstatic.com/steam/apps/10500/header.jpg?t=1699976482
56,,Dawn of Man,22,9.0,,"<p><span style=""color:hsl(0, 0%, 0%);"">Command a settlement of ancient humans, guide them through the ages in their struggle for survival. Hunt, gather, craft tools, fight, research new techs and face the challenges the environment will throw at you.</span></p>",2,https://store.steampowered.com/app/858810/Dawn_of_Man/,https://cdn.cloudflare.steamstatic.com/steam/apps/858810/header.jpg?t=1709911973
55,,Planetbase,22,7.0,,"<p><span style=""color:hsl(0, 0%, 0%);"">Guide a group of space settlers trying to establish a base on a remote planet. Grow food, collect energy, mine resources, survive disasters and build a self-sufficient colony in a harsh and unforgiving environment.</span></p>",2,https://store.steampowered.com/app/403190/Planetbase/,https://cdn.cloudflare.steamstatic.com/steam/apps/403190/header.jpg?t=1709911965
54,,Deluxe Content - Cossacks 3: The Golden Age,35,6.0,,,2,https://store.steampowered.com/app/694190/Deluxe_Content__Cossacks_3_The_Golden_Age/,https://cdn.cloudflare.steamstatic.com/steam/apps/694190/header.jpg?t=1503599723
53,,Deluxe Content - Cossacks 3: Path to Grandeur,35,6.0,,,2,https://store.steampowered.com/app/630890/Deluxe_Content__Cossacks_3_Path_to_Grandeur/,https://cdn.cloudflare.steamstatic.com/steam/apps/630890/header.jpg?t=1568742742
52,,Expansion - Cossacks 3: Guardians of the Highlands,35,7.0,,,2,https://store.steampowered.com/app/615380/Expansion__Cossacks_3_Guardians_of_the_Highlands/,https://cdn.cloudflare.steamstatic.com/steam/apps/615380/header.jpg?t=1568742692
51,,Deluxe Content - Cossacks 3: Rise to Glory,35,6.0,,,2,https://store.steampowered.com/app/586910/Deluxe_Content__Cossacks_3_Rise_to_Glory/,https://cdn.cloudflare.steamstatic.com/steam/apps/586910/header.jpg?t=1568742681
50,,Deluxe Content - Cossacks 3: Days of Brilliance,35,7.0,,,2,https://store.steampowered.com/app/565040/Deluxe_Content__Cossacks_3_Days_of_Brilliance/,https://cdn.cloudflare.steamstatic.com/steam/apps/565040/header.jpg?t=1568742746
49,,Cossacks 3,35,9.0,,"<p><span style=""color:hsl(0, 0%, 0%);"">Cossacks 3 is the return of RTS classics. Obtain resources, build cities and research technologies while taking command of great armies, crushing enemies in grand historical warfares on land and sea!</span></p>",2,https://store.steampowered.com/app/333420/Cossacks_3/,https://cdn.cloudflare.steamstatic.com/steam/apps/333420/header.jpg?t=1678808308
48,,RAM Pressure,30,6.0,,"<p><span style=""color:hsl(0, 0%, 0%);"">Tactical story-driven online multiplayer game combining the turn-based combat of X-COM with a deep, well-grounded sci-fi setting. Experience intense tactical online multiplayer action and explore a deep plot and unique storyline built on both single-player and multiplayer missions.</span></p>",2,https://store.steampowered.com/app/929490/RAM_Pressure/,https://cdn.cloudflare.steamstatic.com/steam/apps/929490/header.jpg?t=1658424224
46,,XERA: Survival,51,6.0,,"<p><span style=""color:hsl(0, 0%, 0%);"">Action-focused, open world survival shooter, PvPvE against fellow mercenaries and lethal XOIDS. Raid for resources alone or with team-mates, build and defend your base, stash your gear and survive against the odds. You are the hunters. You are the hunted. And the robots never sleep…</span></p>",2,https://store.steampowered.com/app/625340/XERA_Survival/,https://cdn.cloudflare.steamstatic.com/steam/apps/625340/header.jpg?t=1708667234
45,,War Thunder,35,7.0,,"<p><span style=""color:hsl(0, 0%, 0%);"">War Thunder is the most comprehensive free-to-play, cross-platform, MMO military game dedicated to aviation, armoured vehicles, and naval craft, from the early 20th century to the most advanced modern combat units. Join now and take part in major battles on land, in the air, and at sea.</span></p>",2,https://store.steampowered.com/app/236390/War_Thunder/,https://cdn.cloudflare.steamstatic.com/steam/apps/236390/header.jpg?t=1710422025
