name,category
Science Fiction,BOOK
Historical Fiction,BOOK
Mystery,BOOK
Memoir,BOOK
Dystopian,BOOK
Graphic Novel,BOOK
Biography,BOOK
Fantasy,BOOK
Horror,BOOK
Young Adult,BOOK
Adventure,BOOK
Magical Realism,BOOK
Short Story,BOOK
Fairy Tale,BOOK
Historical,BOOK
Thriller,BOOK
Literary Fiction,BOOK
Romance,BOOK
Contemporary,BOOK
Comedy,BOOK
Western,BOOK
Action,GAME
Arcade & Rhythm,GAME
Fighting & Martial Arts,GAME
First-Person Shooter,GAME
Hack & Slash,GAME
Platformer & Runner,GAME
Third-Person Shooter,GAME
Adventure,GAME
Adventure RPG,GAME
Casual,GAME
Hidden Object,GAME
Puzzle,GAME
Story-Rich,GAME
Visual Novel,GAME
Role-Playing,GAME
Action RPG,GAME
JRPG,GAME
Party-Based,GAME
Rogue-Like,GAME
Strategy RPG,GAME
Turn-Based,GAME
Simulation,GAME
Building & Automation,GAME
Dating,GAME
Farming & Crafting,GAME
Hobby & Job,GAME
Life & Immersive,GAME
Sandbox & Physics,GAME
Space & Flight,GAME
Strategy,GAME
Card & Board,GAME
City & Settlement,GAME
Grand & 4X,GAME
Military,GAME
Real-Time Strategy,GAME
Tower Defense,GAME
Turn-Based Strategy,GAME
Sports & Racing,GAME
All Sports,GAME
Fishing & Hunting,GAME
Individual Sports,GAME
Racing,GAME
Racing Sim,GAME
Sports Sim,GAME
Team Sports,GAME
Horror,GAME
Mystery & Detective,GAME
Open World,GAME
Science Fiction,GAME
Space,GAME
Survival,GAME
Action,MOVIE
Adventure,MOVIE
Animation,MOVIE
Biography,MOVIE
Comedy,MOVIE
Crime,MOVIE
Documentary,MOVIE
Drama,MOVIE
Family,MOVIE
Fantasy,MOVIE
Film-Noir,MOVIE
History,MOVIE
Horror,MOVIE
Music,MOVIE
Musical,MOVIE
Mystery,MOVIE
Romance,MOVIE
Science Fiction,MOVIE
Short,MOVIE
Sport,MOVIE
Thriller,MOVIE
